project,seed,profile,dose,latency,model,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
commons-compress,7,mid,0.2,none,NA(fp_filter),327,94,0.10841332491940293,0.5232917429397561,0.020214932142294348,0.3541785422065482
commons-compress,7,mid,0.25,uniform,OOB,381,78,0.02977778730089714,0.4495591126797084,0.07240681291669637,0.5897616731394038
commons-compress,7,mid,0.25,uniform,ORB,381,78,-0.006022726553558254,0.4608988461875501,-0.030098331504503785,0.44967830701019834
commons-compress,7,mid,0.25,uniform,NA(damp),381,78,-0.035978328276539025,0.4347431250369383,-0.03126134165136083,0.44502404985088606
commons-compress,7,mid,0.25,uniform,NA(fp_filter),381,78,-0.045539024747167436,0.4346078839686446,0.1571573209224986,0.6862807704777827
commons-compress,7,mid,0.25,none,OOB,381,78,0.03364691904350999,0.5006991943094927,-0.08559148957042739,0.32093989788636273
commons-compress,7,mid,0.25,none,ORB,381,78,0.00985688167787568,0.475060370682408,-0.08523909041021352,0.2518768906432597
commons-compress,7,mid,0.25,none,NA(damp),381,78,0.01886281354597149,0.48601946209453245,-0.05406701413125914,0.3282950088877834
commons-compress,7,mid,0.25,none,NA(fp_filter),381,78,0.058207588295947035,0.4872990605224495,-0.059531760036276256,0.2883415902145134
commons-compress,7,mid,0.3,uniform,OOB,395,50,-0.002360527849886772,0.40689171083510234,-0.15129695862384504,0.22276470095463166
commons-compress,7,mid,0.3,uniform,ORB,395,50,-0.041289034568796595,0.440254637090838,-0.014196354642610006,0.4676323677156278
commons-compress,7,mid,0.3,uniform,NA(damp),395,50,-0.03280777046444078,0.44608975957384794,-0.0829658163939625,0.3314925110246021
commons-compress,7,mid,0.3,uniform,NA(fp_filter),395,50,-0.051518995263573196,0.4261772198672941,-0.10951211522755797,0.29758096371774706
commons-compress,7,mid,0.3,none,OOB,395,50,0.006984850872384135,0.4837333679638028,-0.015370528294704517,0.47631211505736143
commons-compress,7,mid,0.3,none,ORB,395,50,0.028502429549094686,0.5082432487207329,-0.03963887985489828,0.4076376570982974
commons-compress,7,mid,0.3,none,NA(damp),395,50,-0.010813869295926086,0.47033091805244637,-0.0896956020568381,0.2964718965437605
commons-compress,7,mid,0.3,none,NA(fp_filter),395,50,0.020989058659193358,0.4560335683557934,-0.045220275326772016,0.2576768404115846
commons-compress,7,fn_heavy,0.05,uniform,OOB,161,130,0.11889939692581397,0.5153164797691937,0.06292828854603384,0.5800706488447631
commons-compress,7,fn_heavy,0.05,uniform,ORB,161,130,0.10429369608897908,0.5154682941440335,-0.031312516576213915,0.34641336362652936
commons-compress,7,fn_heavy,0.05,uniform,NA(damp),161,130,0.10393978768843007,0.501015287740801,0.06780578009459641,0.5514020787552317
commons-compress,7,fn_heavy,0.05,uniform,NA(fp_filter),161,130,0.08447177571055792,0.488514618206724,0.05074605822433079,0.37404015538174007
commons-compress,7,fn_heavy,0.05,none,OOB,161,130,0.17176185196531443,0.6124164942514205,0.048628370230764835,0.5682147977637997
commons-compress,7,fn_heavy,0.05,none,ORB,161,130,0.16063017560308449,0.5991849427751305,0.11910571441667356,0.6616828732786473
commons-compress,7,fn_heavy,0.05,none,NA(damp),161,130,0.18284227061205235,0.6160761605099107,-0.013357230494534562,0.4442093205649114
commons-compress,7,fn_heavy,0.05,none,NA(fp_filter),161,130,0.21567546553745695,0.576635209837863,0.1398712333191714,0.3729872986936833
commons-compress,7,fn_heavy,0.1,uniform,OOB,152,89,0.07904056987093051,0.4615877435453182,0.03637745731985299,0.5480319086783523
commons-compress,7,fn_heavy,0.1,uniform,ORB,152,89,0.030811913292214586,0.4704817844543837,-0.08779730207581658,0.27705703249442737
commons-compress,7,fn_heavy,0.1,uniform,NA(damp),152,89,0.0460179574003797,0.48953476545893304,-0.056096932859578834,0.3035018074605158
commons-compress,7,fn_heavy,0.1,uniform,NA(fp_filter),152,89,0.020349929262077453,0.44865316207220624,0.12093734012173046,0.6242752298287825
commons-compress,7,fn_heavy,0.1,none,OOB,152,89,0.13229245319459504,0.5804840402029631,0.012200238515054753,0.5187562518043002
commons-compress,7,fn_heavy,0.1,none,ORB,152,89,0.07622928854501977,0.5186649403320419,0.034143091314815015,0.5300013673207349
commons-compress,7,fn_heavy,0.1,none,NA(damp),152,89,0.08957806655402917,0.5345842195468412,-0.004189116540190867,0.4901535779588227
commons-compress,7,fn_heavy,0.1,none,NA(fp_filter),152,89,0.07218273630740646,0.46516289368849595,-0.033725525690094495,0.2702121319355688
commons-compress,7,fn_heavy,0.15,uniform,OOB,141,43,0.016052366309509174,0.39863228205187284,0.009931043603592728,0.5102330475126795
commons-compress,7,fn_heavy,0.15,uniform,ORB,141,43,-0.01714043608848682,0.41605575686267315,-0.09026329690454175,0.18724610087350688
commons-compress,7,fn_heavy,0.15,uniform,NA(damp),141,43,-0.01376853230955104,0.4449708503055479,-0.07335381893751579,0.35756185857216627
