project,seed,condition,n_fp_available,n_fn_available,n_labels_corrected,mcc_avg,gmean_avg,mcc,gmean
commons-bcel,42,fp_repair_frac_0.50,86,31,43,0.1501682597093382,0.5866749492685763,-0.04495448786290538,0.45175355874934203
commons-bcel,42,fn_repair_frac_0.50,86,31,16,0.1075738683213379,0.5551480405110887,-0.04431469551872763,0.45268116654725177
commons-bcel,42,fp_repair_frac_0.75,86,31,64,0.09446660775346766,0.5210455482325779,-0.07920325901976585,0.4131666828036416
commons-bcel,42,fn_repair_frac_0.75,86,31,23,0.11124940656893048,0.5804448352838905,-0.03506618793435733,0.4626712284201975
commons-bcel,42,fp_repair_frac_1.00,86,31,86,0.15527582931049572,0.5846898636625714,0.16035197031464776,0.6654738074548124
commons-bcel,42,fn_repair_frac_1.00,86,31,31,0.13527934237685013,0.6033496414620049,0.10240810898257946,0.5951030222735144
commons-bcel,42,fn_repair_immediate,86,31,31,0.04433571408167953,0.47646972988347575,-0.032659896314256115,0.4170979682142174
commons-bcel,42,fn_repair_at_window,86,31,31,0.1560074627084393,0.5854179283410235,-0.011882358882141057,0.4864926958620473
commons-bcel,77,BSZZ,86,31,0,0.19836787697357247,0.6348229676729475,-0.017527603477402384,0.4812243709806035
commons-bcel,77,BSZZ_immediate,86,31,0,0.03807916117918442,0.4675444979993598,-0.15997792418614235,0.32808480154805253
commons-bcel,77,BSZZ_at_window,86,31,0,0.18554419819930704,0.629850511200741,0.06854986650022056,0.5706000512938633
commons-bcel,77,fp_repair_matched,86,31,31,0.10417879802396043,0.5472916653973283,-0.05990553226525671,0.43601659257623326
commons-bcel,77,fp_repair_frac_0.25,86,31,22,0.09953888579227417,0.5428205106540168,-0.04651544683587336,0.45044714797363933
commons-bcel,77,fn_repair_frac_0.25,86,31,8,0.1727873968853265,0.6144024883506548,-0.03806063475833218,0.4592246085688464
commons-bcel,77,fp_repair_frac_0.50,86,31,43,0.15764970312471813,0.5907215609968317,0.06594212089908393,0.5691966533767154
commons-bcel,77,fn_repair_frac_0.50,86,31,16,0.15654534177359086,0.6006637955772566,-0.024294769767850746,0.47403123507635364
commons-bcel,77,fp_repair_frac_0.75,86,31,64,0.16322116261664832,0.5937000639942672,-0.0472612695519352,0.4476037478654304
commons-bcel,77,fn_repair_frac_0.75,86,31,23,0.13449102485116649,0.56334269260727,-0.05562843404446134,0.434795536211442
commons-bcel,77,fp_repair_frac_1.00,86,31,86,0.17216196270166512,0.5984145747513603,0.2005649068532506,0.7040855478389947
