project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,202,symmetric,0.15,none,332,491,281,0.13791404061300877,0.5832654131991039,0.1068174853644971,0.6301608161171507
ant-ivy,202,symmetric,0.2,none,332,538,265,0.10157452387874163,0.5478313365624282,-0.07639467144940186,0.36503924219058276
ant-ivy,202,symmetric,0.25,none,332,606,253,0.07737933998884865,0.5414695083378538,-0.023675024413366247,0.4483307877637572
ant-ivy,202,symmetric,0.3,none,332,670,235,0.040362914327918525,0.5129452678976167,-0.05374619860997611,0.41475733134920534
ant-ivy,202,fp_heavy,0.05,none,332,388,320,0.18147499646753482,0.6008095225953783,0.08967908531648701,0.5808104040495402
ant-ivy,202,fp_heavy,0.1,none,332,409,291,0.15227290265487217,0.577813473441906,0.16571832608267056,0.6918679119880808
ant-ivy,202,fp_heavy,0.15,none,332,465,268,0.12418318946354366,0.5636514692380173,-0.06834929910895518,0.38043554984447353
ant-ivy,202,fp_heavy,0.2,none,332,507,251,0.10723613709517446,0.5562655957620041,-0.014571276016654401,0.46769012017434897
ant-ivy,202,fp_heavy,0.25,none,332,559,230,0.07869485478850181,0.5367000482225763,-0.07171275366314932,0.3580829463942607
ant-ivy,202,fp_heavy,0.3,none,332,607,215,0.03268056333121103,0.5097784108831968,-0.07492580816621972,0.37493209161372215
ant-ivy,202,mid,0.05,none,332,358,302,0.17024741718954778,0.588641127573162,0.1025332924905594,0.5897557916232534
ant-ivy,202,mid,0.1,none,332,358,258,0.1415341752234789,0.5734965035350178,0.10703316285477624,0.6180461195889394
ant-ivy,202,mid,0.15,none,332,375,228,0.11920618857596163,0.5582919252797209,0.053646192850463945,0.5564370062687778
ant-ivy,202,mid,0.2,none,332,398,193,0.10244085947885478,0.5550112077088633,0.10834027658010788,0.6321082459588219
ant-ivy,202,mid,0.25,none,332,406,161,0.06578550629904009,0.5195630149748258,0.029780750396608723,0.5307995115928601
ant-ivy,202,mid,0.3,none,332,417,116,0.057084350494101446,0.51761479258297,0.05130781087019182,0.5559478120169425
ant-ivy,202,fn_heavy,0.05,none,332,291,268,0.15818585544952013,0.5770769327330334,0.04765661401372313,0.5245683858018294
ant-ivy,202,fn_heavy,0.1,none,332,268,215,0.10527258555766904,0.529146259005999,0.037833923294290674,0.4968407754526302
ant-ivy,202,fn_heavy,0.15,none,332,224,151,0.1122058307294396,0.5452793450637673,0.07964081091822588,0.5874184291402986
ant-ivy,202,fn_heavy,0.2,none,332,176,78,0.06243749257606346,0.5095938723394515,0.05480465083384126,0.5522385411682773
ant-ivy,202,fn_heavy,0.25,none,332,126,11,-0.021371226898381706,0.43440941756695844,-0.01807524203206058,0.4416488371955383
ant-ivy,202,fn_heavy,0.3,none,332,143,0,-0.04119176431434618,0.42198359356344367,0.11874893130971013,0.6423225765301127
ant-ivy,314,symmetric,0.05,none,332,406,321,0.13202133369611496,0.5660138202750833,-0.0660369830971254,0.33964073014899454
ant-ivy,314,symmetric,0.1,none,332,453,302,0.13144952026538095,0.5705539032294048,-0.0454847997725978,0.4089161991804869
ant-ivy,314,symmetric,0.15,none,332,508,289,0.09669753604459903,0.5413337141578498,-0.08195262843201039,0.34996886374136094
ant-ivy,314,symmetric,0.2,none,332,575,272,0.11169810183258058,0.5504237662384618,-0.051548844211267375,0.4099449504141723
ant-ivy,314,symmetric,0.25,none,332,625,254,0.06902720948374026,0.5251705716778092,-0.10694097689831486,0.29656301057820667
ant-ivy,314,symmetric,0.3,none,332,694,239,0.02449040691244456,0.4950231593071907,-0.1295624788843282,0.2654372610618017
ant-ivy,314,fp_heavy,0.05,none,332,395,316,0.1330604461485897,0.5632416674955589,-0.01644347471024954,0.44471552842285006
ant-ivy,314,fp_heavy,0.1,none,332,439,295,0.14392244868675375,0.5736800600042481,-0.09290712672526058,0.31451491082046923
ant-ivy,314,fp_heavy,0.15,none,332,479,274,0.1298668469215068,0.5597959868191936,-0.07409762997879785,0.3563117616643885
ant-ivy,314,fp_heavy,0.2,none,332,529,253,0.11534886544149728,0.556925994566001,0.05494608114071664,0.5581513436847348
ant-ivy,314,fp_heavy,0.25,none,332,585,234,0.06118783884034266,0.525652231160288,-0.04064083898919131,0.42722983770567213
ant-ivy,314,fp_heavy,0.3,none,332,636,212,0.02096541350781805,0.5008046002471925,-0.0680567350071487,0.393945776883651
ant-ivy,314,mid,0.05,none,332,361,299,0.12905378830008074,0.5556452732665196,-0.07102299502447659,0.3135314400035323
