project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
commons-math,202,symmetric,0.3,real,335,1297,226,0.02241445339131959,0.48201592486312306,0.012623723285075427,0.4896399350046163
commons-math,202,fp_heavy,0.05,uniform,335,481,312,0.08874607326960919,0.5527319673929922,0.02445867765923463,0.5389329167682232
commons-math,202,fp_heavy,0.05,real,335,481,312,0.08940809463098656,0.5488021644279354,0.09147319329913318,0.6302308135831357
commons-math,202,fp_heavy,0.1,uniform,335,630,295,0.044163337254009415,0.4935116218886112,-0.025856822221644028,0.4577725658886497
commons-math,202,fp_heavy,0.1,real,335,630,295,0.05756471254434341,0.525765856856533,-0.012565657233074224,0.4795933531134596
commons-math,202,fp_heavy,0.15,uniform,335,790,271,0.05129218234686533,0.5097157989204677,-0.012366430801801973,0.47993313663450576
commons-math,202,fp_heavy,0.15,real,335,790,271,0.055114851562503536,0.5246639734311405,0.06422368577507617,0.5793654954081284
commons-math,202,fp_heavy,0.2,uniform,335,923,240,0.023245990762023574,0.47875312752234483,-0.014034975388129322,0.47662367540360306
commons-math,202,fp_heavy,0.2,real,335,923,240,0.022753060231247936,0.48891579507049704,0.13855172977720503,0.7075279120041497
commons-math,202,fp_heavy,0.25,uniform,335,1075,215,0.005485373943750497,0.4743786438121843,0.006187889973029954,0.5095675214993536
commons-math,202,fp_heavy,0.25,real,335,1075,215,0.02139638047002488,0.4748627767929827,-0.16188670618233253,0.173281926008794
commons-math,202,fp_heavy,0.3,uniform,335,1214,186,0.013070290282611969,0.482306808177294,0.07480023292360258,0.6185599366378748
commons-math,202,fp_heavy,0.3,real,335,1214,186,0.02407128023214877,0.4799672194650517,-0.02303044062928742,0.4622144415701742
commons-math,202,mid,0.05,uniform,335,447,295,0.07689142845005002,0.5366053930779404,0.03706951438425145,0.5591702553930465
commons-math,202,mid,0.05,real,335,447,295,0.07816858407263055,0.5387540492114528,0.053400334846817055,0.5840909600570782
commons-math,202,mid,0.1,uniform,335,529,240,0.07819870425475745,0.5299295724430251,0.026663669367372494,0.5429899347655137
commons-math,202,mid,0.1,real,335,529,240,0.05640065075893657,0.5251315934494404,0.16182909791992636,0.7361238804220702
commons-math,202,mid,0.15,uniform,335,631,187,0.05558015621115256,0.5053577065358469,0.11699046277343436,0.6667337588790271
commons-math,202,mid,0.15,real,335,631,187,0.019064084676606013,0.4836229840027919,0.034224061340962064,0.5549346952290513
commons-math,202,mid,0.2,uniform,335,749,153,0.03767496490226954,0.49747156163538064,0.013904257793971713,0.5223776133439852
commons-math,202,mid,0.2,real,335,749,153,0.0056739676969218755,0.4693062515907353,-0.060841586929584725,0.374680327859428
commons-math,202,mid,0.25,uniform,335,858,104,-0.0069905820650317495,0.4582188721052684,-0.023681123112198308,0.4616777400437404
commons-math,202,mid,0.25,real,335,858,104,0.00932901031996791,0.47975833869902423,0.02708678313415849,0.54379330623552
commons-math,202,mid,0.3,uniform,335,955,55,0.03391367277013622,0.49242159988094264,0.15542899833261156,0.7288844530634008
commons-math,202,mid,0.3,real,335,955,55,-0.00044650924181190404,0.46728914472880706,-0.15484574913361301,0.18092693106689692
commons-math,202,fn_heavy,0.05,uniform,335,323,226,0.06638817386019905,0.502855628708897,0.019463437115597847,0.5289823454160718
commons-math,202,fn_heavy,0.05,real,335,323,226,0.10235206745965081,0.557500932874506,0.1164828653772076,0.6559757073083453
commons-math,202,fn_heavy,0.1,uniform,335,310,122,0.025690539420293767,0.4713742471258008,-0.01812591303594296,0.4272718416513587
commons-math,202,fn_heavy,0.1,real,335,310,122,0.030281480557915415,0.5023843873892169,0.02399009992836583,0.5381953118630758
commons-math,202,fn_heavy,0.15,uniform,335,301,24,0.0041375465995747525,0.4401984431131096,-0.13151769329885868,0.11627506252203441
commons-math,202,fn_heavy,0.15,real,335,301,24,-0.003431857622284753,0.4551919262026943,0.04511489557944434,0.5686085305794479
commons-math,202,fn_heavy,0.2,uniform,335,366,0,-0.021635070575493773,0.42722749618557965,-0.069717238601785,0.3639584625487747
commons-math,202,fn_heavy,0.2,real,335,366,0,-0.019682504080179165,0.4472907173343205,-0.0012878709272575147,0.49658568776677614
commons-math,202,fn_heavy,0.25,uniform,335,488,0,-0.009924127753352356,0.41793876612565833,-0.001455655425377278,0.4948571907422532
commons-math,202,fn_heavy,0.25,real,335,488,0,0.01078483432999383,0.4752359762989859,0.07496613732319435,0.6071994211178168
commons-math,202,fn_heavy,0.3,uniform,335,576,0,-0.039965995804372254,0.40107051670150345,-0.01766384052883755,0.46845305333438453
commons-math,202,fn_heavy,0.3,real,335,576,0,-0.035881377853949174,0.4238171128791054,0.006753344228751629,0.5094240161308694
commons-math,314,symmetric,0.05,uniform,335,506,316,0.10004246110724194,0.5468962577877508,0.04380196661255175,0.5684441722844036
commons-math,314,symmetric,0.05,real,335,506,316,0.08262035976932401,0.5417268883266995,0.04717857592805455,0.5754447129704963
commons-math,314,symmetric,0.1,uniform,335,671,292,0.04407769353472441,0.47170287689962836,-0.055761792385209334,0.30827755747620145
commons-math,314,symmetric,0.1,real,335,671,292,0.07005523427822631,0.5353077525225326,0.008242781613799266,0.5095898572671036
commons-math,314,symmetric,0.15,uniform,335,830,273,0.05042086906063735,0.5140862524485543,0.033304040924707866,0.5537913290890027
commons-math,314,symmetric,0.15,real,335,830,273,0.05215814704100014,0.5203768502655524,0.048054662509610095,0.5488231378973669
commons-math,314,symmetric,0.2,uniform,335,998,254,0.034168870842037805,0.49811736886733,0.07713394060722084,0.610036260406098
commons-math,314,symmetric,0.2,real,335,998,254,0.040974495148274996,0.5092283646039575,0.03770838258148353,0.5606625472276671
commons-math,314,symmetric,0.25,uniform,335,1151,236,0.05289093864909363,0.531296330926961,0.20358427137677976,0.801143260875838
commons-math,314,symmetric,0.25,real,335,1151,236,0.005704309658043457,0.46769249696785126,0.12305905125977637,0.6448739659782309
commons-math,314,symmetric,0.3,uniform,335,1356,219,0.044016769310753386,0.5108498523220877,-0.023880130132690903,0.4160942363281194
commons-math,314,symmetric,0.3,real,335,1356,219,0.0025588392944307964,0.46926748065434704,-0.09696575341505914,0.2965549775075739
commons-math,314,fp_heavy,0.05,uniform,335,491,308,0.0870222657476097,0.5473348640615553,0.0755762811318172,0.6118935194428398
commons-math,314,fp_heavy,0.05,real,335,491,308,0.11237081744473798,0.567941637994305,0.05142577368294314,0.5799926693211465
commons-math,314,fp_heavy,0.1,uniform,335,642,275,0.06033835486779179,0.49373805021885253,0.06902650654994172,0.6038604198561972
commons-math,314,fp_heavy,0.1,real,335,642,275,0.05028178151424475,0.517569243235255,0.047338020675386006,0.5750395467630338
commons-math,314,fp_heavy,0.15,uniform,335,796,255,0.07653921067511225,0.534523496208808,0.04513477301835768,0.5703553766551049
commons-math,314,fp_heavy,0.15,real,335,796,255,0.06942534179660238,0.5295428791875709,-0.1291475220759961,0.22007027725412306
commons-math,314,fp_heavy,0.2,uniform,335,952,234,0.05477762667403559,0.5208652514843275,-0.04733961148450695,0.31538811848266357
commons-math,314,fp_heavy,0.2,real,335,952,234,0.03587921195445251,0.502448044515906,0.05325145988615687,0.5793956712138648
commons-math,314,fp_heavy,0.25,uniform,335,1105,205,0.02520344461555424,0.4915345413659449,0.1111608809419604,0.626062408993501
commons-math,314,fp_heavy,0.25,real,335,1105,205,-0.017224666112026023,0.4498877812096836,-0.031075467890799173,0.4491864971600168
commons-math,314,fp_heavy,0.3,uniform,335,1288,182,0.02611457895327795,0.49917093430465126,0.17812090356484878,0.7665837146027626
commons-math,314,fp_heavy,0.3,real,335,1288,182,0.023007820573117753,0.4878171528017319,0.08049514322091249,0.6150974812542284
commons-math,314,mid,0.05,uniform,335,437,275,0.07896329553851458,0.5398425139707563,0.15158428774551724,0.7273018193826745
commons-math,314,mid,0.05,real,335,437,275,0.10134501586639953,0.5625135891394969,0.007722120694232419,0.510957550388684
commons-math,314,mid,0.1,uniform,335,562,235,0.06913739252070136,0.524552833780067,0.12823749412483731,0.6636894272546109
commons-math,314,mid,0.1,real,335,562,235,0.06083645367378863,0.5280244789743164,0.016304272579339196,0.5259978027266289
commons-math,314,mid,0.15,uniform,335,654,183,0.0405993208475105,0.49489432809081557,-0.0961768533905743,0.2721947586167494
commons-math,314,mid,0.15,real,335,654,183,0.059453626685064105,0.5191029154972236,-0.022000560625405785,0.4643349567522393
commons-math,314,mid,0.2,uniform,335,775,144,0.004351835238331666,0.4651096810826333,-0.023828683115166983,0.4086593647838527
commons-math,314,mid,0.2,real,335,775,144,0.005393790158115561,0.4703782408835346,0.027818774304336658,0.5394058050343632
commons-math,314,mid,0.25,uniform,335,900,108,-0.014787860431553067,0.44964126040006613,-0.025996315304440454,0.45768394289210074
commons-math,314,mid,0.25,real,335,900,108,0.004226041372684364,0.4685696664605197,0.08188946627230065,0.6297670346095047
commons-math,314,mid,0.3,uniform,335,1007,70,-0.0034823307840191236,0.4757285053624623,0.06676719266945699,0.6020344019371896
commons-math,314,mid,0.3,real,335,1007,70,0.0013376762983240659,0.4725995433431809,0.05544169369134613,0.5877660402308961
commons-math,314,fn_heavy,0.05,uniform,335,317,219,0.11060991838430449,0.5563433944219002,0.13777060978172298,0.7101892253073965
commons-math,314,fn_heavy,0.05,real,335,317,219,0.11753294968674624,0.5793138065506344,0.04074617494763406,0.565222891698582
commons-math,314,fn_heavy,0.1,uniform,335,326,121,0.08220573800988952,0.5336384329610135,0.0660944148011613,0.6023510814568359
commons-math,314,fn_heavy,0.1,real,335,326,121,0.06247512714365693,0.5067388513267885,-0.10396099440531212,0.19608980842483506
