project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean,mean_boost_pos_labels,mean_lam_pos_labels,mean_boost_neg_labels,fp_label_rate,fn_label_rate,final_ma_pred
ant-ivy,999,symmetric,0.1,uniform,332,444,303,0.13264003630798427,0.559561803155695,0.0029552421599078615,0.5031041757809017,4.145562374910306,10.635756725749125,4.859136373117564,0.07961603613777526,0.01637492941840768,0.15999982824391124
ant-ivy,999,symmetric,0.1,real,332,444,303,0.1238811267303475,0.5602391675108597,-0.008563052083811891,0.47940188155772495,3.4757194470886836,10.888275549819584,4.94653807867883,0.07961603613777526,0.01637492941840768,0.6001574385330803
ant-ivy,999,symmetric,0.15,uniform,332,492,277,0.037298242473110886,0.504844922539861,-0.024667867705225593,0.4489323963013157,4.78256537275531,10.934312434553256,5.0652822354989055,0.12140033879164314,0.031055900621118012,0.15997466237762925
ant-ivy,999,symmetric,0.15,real,332,492,277,0.1290239636458592,0.5680505254602515,0.00045530492830272214,0.49961281884997083,3.9120099914038797,12.29121405826865,4.882862388100035,0.12140033879164314,0.031055900621118012,0.09600017175479697
ant-ivy,999,symmetric,0.2,uniform,332,551,265,0.05628838586904256,0.5191658511054493,0.18376362540624225,0.7121167148785331,4.610682036786377,9.115740276327472,5.042901549714735,0.16149068322981366,0.0378317334839074,0.9360001525556315
ant-ivy,999,symmetric,0.2,real,332,551,265,0.09091279073168423,0.5423884206489379,-0.04221955558449651,0.4475791569453933,3.5854298690579554,10.161452397175708,4.96460225188859,0.16149068322981366,0.0378317334839074,0.1599998282015849
ant-ivy,999,symmetric,0.25,uniform,332,603,254,0.05167356638207106,0.5143145021527097,0.12995469894416722,0.6533423158136532,4.443417897461874,7.858161763604549,4.796897379945092,0.19706380575945792,0.044042913608131,1.7175479697676906e-07
ant-ivy,999,symmetric,0.25,real,332,603,254,0.105695090403682,0.5553438311854939,-0.01775930994937348,0.4762839069594475,3.9240637868440476,9.941394876203939,5.267451486717215,0.19706380575945792,0.044042913608131,0.006144027375252695
ant-ivy,999,symmetric,0.3,uniform,332,674,233,0.026261915317392682,0.49964697867150176,0.09456388681507664,0.6148205933200029,4.610553612131285,7.095198718848811,4.6917123444618465,0.2490118577075099,0.055900621118012424,0.057845789248050464
ant-ivy,999,symmetric,0.3,real,332,674,233,0.06933430033681384,0.5273170097188672,-0.12912849126286768,0.3398176441510369,3.386849623215485,7.835592545987475,5.183488468571216,0.2490118577075099,0.055900621118012424,0.940095990509649
ant-ivy,999,fp_heavy,0.05,uniform,332,377,314,0.16138542899053474,0.573083940201778,0.03333581666434517,0.5371230149092686,4.189639432646253,12.924395469301318,5.041198529025815,0.03557312252964427,0.010163749294184076,0.39385582820130954
ant-ivy,999,fp_heavy,0.05,real,332,377,314,0.08549066261757672,0.5357635029005853,-0.06797834948257517,0.394572103828375,3.260415590011231,12.619482717319173,4.628116096399401,0.03557312252964427,0.010163749294184076,0.09871318830702744
ant-ivy,999,fp_heavy,0.1,uniform,332,424,289,0.11242021193537921,0.5392602851077245,-0.03271848817107933,0.4521610768142925,4.213121127952969,11.829604483782308,4.910173701764569,0.07622811970638058,0.024280067758328628,0.15999982820174002
ant-ivy,999,fp_heavy,0.1,real,332,424,289,0.12514856215504075,0.561066636417221,-0.05042941534094138,0.4368625515591688,3.6196470118950037,12.805982035769327,4.637218235823231,0.07622811970638058,0.024280067758328628,0.1599998282013082
ant-ivy,999,fp_heavy,0.15,uniform,332,466,266,0.05636541572878763,0.5122555519429147,0.02840064808976703,0.5253469421375222,4.519780238274023,11.007202098885104,4.931880991727392,0.11293054771315642,0.037267080745341616,0.15999982823269912
ant-ivy,999,fp_heavy,0.15,real,332,466,266,0.11088817469088771,0.5521658110287176,-0.029670066242292667,0.46306870239965914,3.452210952922755,11.424224927295626,5.055693642173787,0.11293054771315642,0.037267080745341616,0.039541142331197855
ant-ivy,999,fp_heavy,0.2,uniform,332,514,252,0.0696101398196826,0.5226838603705274,0.12531481525380186,0.6486606819310513,4.7163404132622935,10.159004667104426,4.538426450381039,0.14793901750423488,0.04517221908526256,0.038400171754797624
ant-ivy,999,fp_heavy,0.2,real,332,514,252,0.08651596810639693,0.5369382147592715,-0.093720421349157,0.3686355685834445,3.466688178828113,10.219891668908934,4.9065176490214855,0.14793901750423488,0.04517221908526256,0.6472342252266455
ant-ivy,999,fp_heavy,0.25,uniform,332,555,225,0.07407581385927417,0.5277108582223726,0.07165649936694825,0.5838984720996127,4.592604841777941,9.323897726805717,4.950205565563004,0.18633540372670807,0.06041784302653868,0.03840017175479704
ant-ivy,999,fp_heavy,0.25,real,332,555,225,0.06864858886190567,0.5261878155483579,-0.14421539473475223,0.31816713487684517,3.132559816131115,8.555456648633353,5.1996403040764045,0.18633540372670807,0.06041784302653868,0.8646153246059272
ant-ivy,999,fp_heavy,0.3,uniform,332,611,203,0.019747347247108877,0.4911855422821591,0.019272401613059917,0.5147565261088481,4.464302845437364,7.867738516318297,4.894265824120343,0.23037831733483907,0.07284020327498589,0.15384576187215915
ant-ivy,999,fp_heavy,0.3,real,332,611,203,0.020019747241199374,0.49985199778240885,-0.0015217684169248143,0.48997806287296036,3.3049172056161655,7.9486414437781585,5.0508064213212345,0.23037831733483907,0.07284020327498589,0.39708023027966977
ant-ivy,999,mid,0.05,uniform,332,347,295,0.18313480171478286,0.591008364199701,0.05095967246216707,0.5600684940541539,4.352114780017343,14.20997862048186,5.044121578036338,0.029361942405420668,0.020892151326933936,0.9448359969324318
