variant,project,TP,FP,FN,TN,N,precision,recall,f1,gmean,fp_rate,fn_rate,mcc,kappa
RSZZ,commons-bcel,13,23,47,742,825,0.3611111111111111,0.21666666666666667,0.2708333333333333,0.45842393638053314,0.030065359477124184,0.7833333333333333,0.2372090600131405,0.22876602564102566
RSZZ,commons-beanutils,20,91,17,483,611,0.18018018018018017,0.5405405405405406,0.2702702702702703,0.6744220407070267,0.15853658536585366,0.4594594594594595,0.23630786486483515,0.19736297954119741
RSZZ,commons-codec,10,45,26,680,761,0.18181818181818182,0.2777777777777778,0.2197802197802198,0.510427662325851,0.06206896551724138,0.7222222222222222,0.1768497482446781,0.172458684964237
RSZZ,commons-collections,20,170,30,1603,1823,0.10526315789473684,0.4,0.16666666666666666,0.6013708723524371,0.09588268471517203,0.6,0.16255885254203964,0.1288349421771957
RSZZ,commons-compress,29,80,149,1372,1630,0.26605504587155965,0.16292134831460675,0.20209059233449478,0.3923582106791646,0.05509641873278237,0.8370786516853933,0.13462776516840766,0.12991892887278955
RSZZ,commons-configuration,37,126,118,1557,1838,0.22699386503067484,0.23870967741935484,0.23270440251572327,0.46993442592704543,0.0748663101604278,0.7612903225806451,0.16015317912505375,0.16009244242013354
RSZZ,commons-dbcp,33,151,25,828,1037,0.1793478260869565,0.5689655172413793,0.2727272727272727,0.69369217509307,0.15423901940755874,0.43103448275862066,0.24945011007838655,0.2051217281477289
RSZZ,commons-digester,7,114,12,946,1079,0.05785123966942149,0.3684210526315789,0.10000000000000002,0.5734094620096053,0.10754716981132076,0.631578947368421,0.10873889005187647,0.07174557223033962
RSZZ,commons-io,31,115,42,954,1142,0.21232876712328766,0.4246575342465753,0.28310502283105016,0.6156087039667784,0.10757717492984098,0.5753424657534246,0.2322809145137129,0.2163107237457491
RSZZ,commons-jcs,11,43,77,700,831,0.2037037037037037,0.125,0.15492957746478872,0.34317024093951853,0.05787348586810229,0.875,0.08379583801867825,0.08090471713764313
RSZZ,commons-lang,50,229,96,2594,2969,0.17921146953405018,0.3424657534246575,0.23529411764705882,0.5609680427771284,0.08111937654976975,0.6575342465753424,0.19367345897330368,0.18251427322411773
RSZZ,commons-math,89,269,246,3422,4026,0.24860335195530725,0.2656716417910448,0.2568542568542569,0.4962957770277436,0.072879978325657,0.7343283582089553,0.18707962895253946,0.1869562591808036
RSZZ,commons-net,36,69,81,935,1121,0.34285714285714286,0.3076923076923077,0.3243243243243243,0.5353000310101893,0.06872509960159362,0.6923076923076923,0.25075903704525854,0.2503076346904928
RSZZ,commons-scxml,6,14,41,483,544,0.3,0.1276595744680851,0.17910447761194026,0.35222653238629176,0.028169014084507043,0.8723404255319149,0.14853484900017025,0.13445961582966914
RSZZ,commons-validator,9,60,27,502,598,0.13043478260869565,0.25,0.1714285714285714,0.47255646069112767,0.10676156583629894,0.75,0.10664158506497817,0.10023866348448673
