project,seed,n_commits,defect_ratio,gmean,mcc
nova,77,61364,0.40507463659474613,0.8828048586508859,0.6476514137792025
nova,101,61364,0.40507463659474613,0.8939717806211852,0.6511080499902414
nova,123,61364,0.40507463659474613,0.8643849643377208,0.5840124576730844
nova,202,61364,0.40507463659474613,0.8910803710484126,0.647342199934181
nova,314,61364,0.40507463659474613,0.8900031217147982,0.6381457232931721
nova,999,61364,0.40507463659474613,0.8868195093777219,0.6540080990287249
npm,7,9258,0.29952473536400953,0.7386165971190204,0.2316675285471505
npm,13,9258,0.29952473536400953,0.7494164352210044,0.2418620329438847
npm,21,9258,0.29952473536400953,0.662455415435819,0.158987840731543
npm,42,9258,0.29952473536400953,0.6567246905554126,0.1475412619578666
npm,77,9258,0.29952473536400953,0.7142322609415611,0.2055934960406601
npm,101,9258,0.29952473536400953,0.6339800434466637,0.12556631982426839
npm,123,9258,0.29952473536400953,0.6401100170005682,0.13068654597827692
npm,202,9258,0.29952473536400953,0.6735522902117591,0.1689949012775749
npm,314,9258,0.29952473536400953,0.7552379550812854,0.2476563043193402
npm,999,9258,0.29952473536400953,0.7632316507556761,0.2586048398733717
sentry,7,26603,0.38615945570048493,0.6119816339864297,0.2288146882048242
sentry,13,26603,0.38615945570048493,0.5650012077245993,0.14180838279057686
sentry,21,26603,0.38615945570048493,0.5682747467623085,0.15731881187322644
sentry,42,26603,0.38615945570048493,0.4552079892854062,-0.06272981273318141
sentry,77,26603,0.38615945570048493,0.5597954594845417,0.17759739936191696
sentry,101,26603,0.38615945570048493,0.6006785325448838,0.21035153219400163
sentry,123,26603,0.38615945570048493,0.5412179796652349,0.10618464458951637
sentry,202,26603,0.38615945570048493,0.6067223102518016,0.22942083653532683
sentry,314,26603,0.38615945570048493,0.4944901972707812,0.02582517173937526
sentry,999,26603,0.38615945570048493,0.5041865790816135,0.025360502289830472
spring-integration,7,10999,0.42185653241203747,0.46150042010546277,-0.02791300982525451
spring-integration,13,10999,0.42185653241203747,0.54617763731829,0.12175554512419091
spring-integration,21,10999,0.42185653241203747,0.5929124166731632,0.21397062697341157
spring-integration,42,10999,0.42185653241203747,0.5255247022470586,0.09178420193449022
spring-integration,77,10999,0.42185653241203747,0.5820984429424101,0.18999981119813722
spring-integration,101,10999,0.42185653241203747,0.6004069456018856,0.20959862727931397
spring-integration,123,10999,0.42185653241203747,0.585962871793245,0.18949416200633357
spring-integration,202,10999,0.42185653241203747,0.4943894704444548,0.0432977638343987
spring-integration,314,10999,0.42185653241203747,0.5109246143305142,0.06613522959296224
spring-integration,999,10999,0.42185653241203747,0.5890382786720753,0.1913873426878646
tomcat,7,24043,0.43139375285946013,0.5471686272285928,0.10985158066940907
tomcat,13,24043,0.43139375285946013,0.5240211433702193,0.07032990347111603
tomcat,21,24043,0.43139375285946013,0.5483375780588426,0.11396418107095757
tomcat,42,24043,0.43139375285946013,0.5974507145685254,0.19774822743821888
tomcat,77,24043,0.43139375285946013,0.5148064875448435,0.08307860929892522
tomcat,101,24043,0.43139375285946013,0.5745628104937192,0.15467733406805598
tomcat,123,24043,0.43139375285946013,0.585833008708635,0.17430524460798089
tomcat,202,24043,0.43139375285946013,0.5247673630288541,0.07756288795687244
tomcat,314,24043,0.43139375285946013,0.4753091136092707,-0.0016918221261872399
tomcat,999,24043,0.43139375285946013,0.5913561278361468,0.1988190429890741
wagtail,7,9095,0.2182517866959868,0.5313668930853764,0.13936071866086983
wagtail,13,9095,0.2182517866959868,0.525311848532727,0.1126514960922409
wagtail,21,9095,0.2182517866959868,0.5278050851571833,0.1474649494713752
wagtail,42,9095,0.2182517866959868,0.5231888096355902,0.11585260336955125
wagtail,77,9095,0.2182517866959868,0.6163826509098457,0.22514357698241683
wagtail,101,9095,0.2182517866959868,0.5811106440340544,0.19939529000381187
wagtail,123,9095,0.2182517866959868,0.597471649628852,0.20342831701893552
wagtail,202,9095,0.2182517866959868,0.5621093794288279,0.21327118600614656
wagtail,314,9095,0.2182517866959868,0.5432243569269923,0.10496379282444684
wagtail,999,9095,0.2182517866959868,0.5828484503174168,0.1763216972325128
zulip,7,22964,0.3923097021424839,0.4849144044984826,0.0074746058696155285
zulip,13,22964,0.3923097021424839,0.5963849577313582,0.2139082141085485
zulip,21,22964,0.3923097021424839,0.6216075781049479,0.26560096275894096
zulip,42,22964,0.3923097021424839,0.5943423988114502,0.20469582199837577
zulip,77,22964,0.3923097021424839,0.6129491098714172,0.24862316033378626
zulip,101,22964,0.3923097021424839,0.5159447976167537,0.06454939815630573
zulip,123,22964,0.3923097021424839,0.5049921793923379,0.036694770456769846
zulip,202,22964,0.3923097021424839,0.6124101321925165,0.2512826570589138
zulip,314,22964,0.3923097021424839,0.6125074812155459,0.2566450017319676
zulip,999,22964,0.3923097021424839,0.662721273082256,0.3391071916069517
