project,condition,seed,config,rule,eps,min_pos,rate_update,mcc_avg,mcc,filter_rate,n_filtered
commons-scxml,oracle,13,quantile/q=0.05|eps=0.1|minpos=50|observed,quantile/q=0.05,0.1,50.0,observed,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.1|minpos=50|suppress,quantile/q=0.05,0.1,50.0,suppress,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.0|minpos=20|observed,quantile/q=0.1,0.0,20.0,observed,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.0|minpos=20|suppress,quantile/q=0.1,0.0,20.0,suppress,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.0|minpos=30|observed,quantile/q=0.1,0.0,30.0,observed,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.0|minpos=30|suppress,quantile/q=0.1,0.0,30.0,suppress,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.0|minpos=50|observed,quantile/q=0.1,0.0,50.0,observed,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.0|minpos=50|suppress,quantile/q=0.1,0.0,50.0,suppress,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.1|minpos=20|observed,quantile/q=0.1,0.1,20.0,observed,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.1|minpos=20|suppress,quantile/q=0.1,0.1,20.0,suppress,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.1|minpos=30|observed,quantile/q=0.1,0.1,30.0,observed,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.1|minpos=30|suppress,quantile/q=0.1,0.1,30.0,suppress,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.1|minpos=50|observed,quantile/q=0.1,0.1,50.0,observed,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.1|eps=0.1|minpos=50|suppress,quantile/q=0.1,0.1,50.0,suppress,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.0|minpos=20|observed,quantile/q=0.2,0.0,20.0,observed,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.0|minpos=20|suppress,quantile/q=0.2,0.0,20.0,suppress,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.0|minpos=30|observed,quantile/q=0.2,0.0,30.0,observed,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.0|minpos=30|suppress,quantile/q=0.2,0.0,30.0,suppress,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.0|minpos=50|observed,quantile/q=0.2,0.0,50.0,observed,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.0|minpos=50|suppress,quantile/q=0.2,0.0,50.0,suppress,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.1|minpos=20|observed,quantile/q=0.2,0.1,20.0,observed,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.1|minpos=20|suppress,quantile/q=0.2,0.1,20.0,suppress,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.1|minpos=30|observed,quantile/q=0.2,0.1,30.0,observed,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.1|minpos=30|suppress,quantile/q=0.2,0.1,30.0,suppress,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.1|minpos=50|observed,quantile/q=0.2,0.1,50.0,observed,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.2|eps=0.1|minpos=50|suppress,quantile/q=0.2,0.1,50.0,suppress,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.0|minpos=20|observed,quantile/q=0.3,0.0,20.0,observed,0.12066332679499864,0.24081645710517452,0.08823529411764706,3.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.0|minpos=20|suppress,quantile/q=0.3,0.0,20.0,suppress,0.12066332679499864,0.24081645710517452,0.08823529411764706,3.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.0|minpos=30|observed,quantile/q=0.3,0.0,30.0,observed,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.0|minpos=30|suppress,quantile/q=0.3,0.0,30.0,suppress,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.0|minpos=50|observed,quantile/q=0.3,0.0,50.0,observed,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.0|minpos=50|suppress,quantile/q=0.3,0.0,50.0,suppress,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.1|minpos=20|observed,quantile/q=0.3,0.1,20.0,observed,0.12025908764862635,0.23328209012438347,0.08823529411764706,3.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.1|minpos=20|suppress,quantile/q=0.3,0.1,20.0,suppress,0.12066332679499864,0.24081645710517452,0.08823529411764706,3.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.1|minpos=30|observed,quantile/q=0.3,0.1,30.0,observed,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.1|minpos=30|suppress,quantile/q=0.3,0.1,30.0,suppress,0.11726577104239001,0.17324259431578323,0.058823529411764705,2.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.1|minpos=50|observed,quantile/q=0.3,0.1,50.0,observed,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.3|eps=0.1|minpos=50|suppress,quantile/q=0.3,0.1,50.0,suppress,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.0|minpos=20|observed,fixed/tau=0.15,0.0,20.0,observed,0.03178777037471109,0.1408286173381559,0.2647058823529412,9.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.0|minpos=20|suppress,fixed/tau=0.15,0.0,20.0,suppress,0.03646220237734698,0.145018015942027,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.0|minpos=30|observed,fixed/tau=0.15,0.0,30.0,observed,0.03178777037471109,0.1408286173381559,0.2647058823529412,9.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.0|minpos=30|suppress,fixed/tau=0.15,0.0,30.0,suppress,0.03646220237734698,0.145018015942027,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.0|minpos=50|observed,fixed/tau=0.15,0.0,50.0,observed,0.03178777037471109,0.1408286173381559,0.2647058823529412,9.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.0|minpos=50|suppress,fixed/tau=0.15,0.0,50.0,suppress,0.03646220237734698,0.145018015942027,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.1|minpos=20|observed,fixed/tau=0.15,0.1,20.0,observed,0.037443457661719685,0.14541611841040109,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.1|minpos=20|suppress,fixed/tau=0.15,0.1,20.0,suppress,0.03721704519909335,0.14021255043765143,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.1|minpos=30|observed,fixed/tau=0.15,0.1,30.0,observed,0.037443457661719685,0.14541611841040109,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.1|minpos=30|suppress,fixed/tau=0.15,0.1,30.0,suppress,0.03721704519909335,0.14021255043765143,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.1|minpos=50|observed,fixed/tau=0.15,0.1,50.0,observed,0.037443457661719685,0.14541611841040109,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.15|eps=0.1|minpos=50|suppress,fixed/tau=0.15,0.1,50.0,suppress,0.03721704519909335,0.14021255043765143,0.23529411764705882,8.0
commons-scxml,oracle,13,fixed/tau=0.25|eps=0.0|minpos=20|observed,fixed/tau=0.25,0.0,20.0,observed,0.03356784617508377,0.18218648094164558,0.29411764705882354,10.0
