cfg_wo_ru,condition,observed,suppress,observed_minus_suppress
fixed/tau=0.35|eps=0.1|minpos=50.0,MASZZ,0.06348765596876718,0.07384134585199792,-0.010353689883230738
fixed/tau=0.35|eps=0.1|minpos=50.0,oracle,0.0001685533896024962,0.0017655150927811433,-0.001596961703178647
quantile/q=0.05|eps=0.0|minpos=20.0,BSZZ,0.07678213122160074,0.07803861789059716,-0.001256486668996415
quantile/q=0.05|eps=0.0|minpos=20.0,LSZZ,0.11364131325094048,0.11382413878288428,-0.00018282553194379214
quantile/q=0.05|eps=0.0|minpos=20.0,MASZZ,0.08179059092578694,0.08167879551685739,0.00011179540892955475
quantile/q=0.05|eps=0.0|minpos=20.0,oracle,0.10530658851518386,0.10611761743371666,-0.0008110289185327968
quantile/q=0.05|eps=0.0|minpos=30.0,BSZZ,0.09481129372995954,0.0924606208810755,0.0023506728488840445
quantile/q=0.05|eps=0.0|minpos=30.0,LSZZ,0.11604566990281494,0.11759068650846435,-0.0015450166056494158
quantile/q=0.05|eps=0.0|minpos=30.0,MASZZ,0.07870658447089682,0.08036795120000187,-0.0016613667291050516
quantile/q=0.05|eps=0.0|minpos=30.0,oracle,0.1026319472895327,0.1035319402676327,-0.0008999929780999921
quantile/q=0.05|eps=0.0|minpos=50.0,BSZZ,0.08218438373423934,0.08358490534331489,-0.0014005216090755557
quantile/q=0.05|eps=0.0|minpos=50.0,LSZZ,0.11044266590366107,0.11031290673604069,0.00012975916762038298
quantile/q=0.05|eps=0.0|minpos=50.0,MASZZ,0.08035960732517751,0.08186867903041858,-0.0015090717052410746
quantile/q=0.05|eps=0.0|minpos=50.0,oracle,0.10352205146498529,0.10121960379699504,0.0023024476679902456
quantile/q=0.05|eps=0.1|minpos=20.0,BSZZ,0.0795297561838287,0.07579744059038904,0.0037323155934396585
quantile/q=0.05|eps=0.1|minpos=20.0,LSZZ,0.11357334721815047,0.1158618825695898,-0.0022885353514393303
quantile/q=0.05|eps=0.1|minpos=20.0,MASZZ,0.08336887795503348,0.0825469025209137,0.0008219754341197705
quantile/q=0.05|eps=0.1|minpos=20.0,oracle,0.10794412676198947,0.10528344642420874,0.0026606803377807325
quantile/q=0.05|eps=0.1|minpos=30.0,BSZZ,0.09303516413606604,0.08903027394182782,0.00400489019423822
quantile/q=0.05|eps=0.1|minpos=30.0,LSZZ,0.11672242857446455,0.11744915401538776,-0.0007267254409232121
quantile/q=0.05|eps=0.1|minpos=30.0,MASZZ,0.08173307108947009,0.0802543670163677,0.0014787040731023826
quantile/q=0.05|eps=0.1|minpos=30.0,oracle,0.10487546874697766,0.10270207895499683,0.002173389791980826
quantile/q=0.05|eps=0.1|minpos=50.0,BSZZ,0.08385502139963082,0.08498838096772249,-0.0011333595680916714
quantile/q=0.05|eps=0.1|minpos=50.0,LSZZ,0.11214584004622084,0.11335909278516502,-0.0012132527389441816
quantile/q=0.05|eps=0.1|minpos=50.0,MASZZ,0.08064331454774318,0.0838615935342372,-0.0032182789864940164
quantile/q=0.05|eps=0.1|minpos=50.0,oracle,0.10325541616038174,0.10184221828953134,0.0014131978708503967
quantile/q=0.1|eps=0.0|minpos=20.0,BSZZ,0.07940782019458952,0.08058008978862276,-0.0011722695940332428
quantile/q=0.1|eps=0.0|minpos=20.0,LSZZ,0.11177729544941058,0.11346758289828361,-0.0016902874488730346
quantile/q=0.1|eps=0.0|minpos=20.0,MASZZ,0.09043042538105683,0.0910420420876507,-0.0006116167065938621
quantile/q=0.1|eps=0.0|minpos=20.0,oracle,0.1070091172492023,0.10612296211895016,0.000886155130252142
