config,rule,eps,min_pos,rate_update,filter_rate_BSZZ,filter_rate_LSZZ,filter_rate_MASZZ,filter_rate_oracle,gain_BSZZ,gain_LSZZ,gain_MASZZ,gain_oracle,nd_pass
fixed/tau=0.35|eps=0.0|minpos=20|observed,fixed/tau=0.35,0.0,20.0,observed,0.5695682674199624,0.8559974747474748,0.7768280030639818,0.7883244206773619,-0.008987500996365347,-0.06024047083259698,-0.01645270421687932,-0.09893883381622796,False
fixed/tau=0.35|eps=0.0|minpos=20|suppress,fixed/tau=0.35,0.0,20.0,suppress,0.5742245762711864,0.7792087542087542,0.7069769731468989,0.7589126559714795,-0.012885290225716557,-0.051908448334385245,-0.009661204930580744,-0.09559202798685137,False
fixed/tau=0.35|eps=0.0|minpos=30|observed,fixed/tau=0.35,0.0,30.0,observed,0.5695682674199624,0.8559974747474748,0.7768280030639818,0.7883244206773619,-0.008987500996365347,-0.06024047083259698,-0.01645270421687932,-0.09893883381622796,False
fixed/tau=0.35|eps=0.0|minpos=30|suppress,fixed/tau=0.35,0.0,30.0,suppress,0.5742245762711864,0.7792087542087542,0.7069769731468989,0.7589126559714795,-0.012885290225716557,-0.051908448334385245,-0.009661204930580744,-0.09559202798685137,False
fixed/tau=0.35|eps=0.0|minpos=50|observed,fixed/tau=0.35,0.0,50.0,observed,0.5695682674199624,0.8559974747474748,0.7768280030639818,0.7883244206773619,-0.008987500996365347,-0.06024047083259698,-0.01645270421687932,-0.09893883381622796,False
fixed/tau=0.35|eps=0.0|minpos=50|suppress,fixed/tau=0.35,0.0,50.0,suppress,0.5742245762711864,0.7792087542087542,0.7069769731468989,0.7589126559714795,-0.012885290225716557,-0.051908448334385245,-0.009661204930580744,-0.09559202798685137,False
fixed/tau=0.35|eps=0.1|minpos=20|observed,fixed/tau=0.35,0.1,20.0,observed,0.5577372881355932,0.8264309764309765,0.7634456818217416,0.7715955068896245,-0.006644513426418655,-0.058186989030084006,-0.01311059251133359,-0.09631497757457125,False
fixed/tau=0.35|eps=0.1|minpos=20|suppress,fixed/tau=0.35,0.1,20.0,suppress,0.4815047080979284,0.8077651515151516,0.6878212687182218,0.7439811278046572,0.00847696353326828,-0.055215006851803645,-0.002756902628102853,-0.0947180158713926,False
fixed/tau=0.35|eps=0.1|minpos=30|observed,fixed/tau=0.35,0.1,30.0,observed,0.5577372881355932,0.8264309764309765,0.7634456818217416,0.7715955068896245,-0.006644513426418655,-0.058186989030084006,-0.01311059251133359,-0.09631497757457125,False
fixed/tau=0.35|eps=0.1|minpos=30|suppress,fixed/tau=0.35,0.1,30.0,suppress,0.4815047080979284,0.8077651515151516,0.6878212687182218,0.7439811278046572,0.00847696353326828,-0.055215006851803645,-0.002756902628102853,-0.0947180158713926,False
