project,seed,model,train_label,eval_mode,regime,mcc,gmean
ant-ivy,21,JITLine,BSZZ,oracle,chronological,0.18214142223759708,0.5884806083600209
ant-ivy,21,ORB,BSZZ,oracle,prequential_latency,-0.0045388178085104414,0.49423180928677385
ant-ivy,21,LApredict,BSZZ,self,naive_kfold,0.457238040958554,0.7315041788464316
ant-ivy,21,LApredict,BSZZ,self,chronological,0.449330478547855,0.7301549330735867
ant-ivy,21,JITLine,BSZZ,self,naive_kfold,0.4786839878412053,0.7337708190915112
ant-ivy,21,JITLine,BSZZ,self,chronological,0.34249923054003856,0.6478318217920119
ant-ivy,21,ORB,BSZZ,self,prequential_latency,0.19808457096081195,0.6120873299494488
ant-ivy,21,LApredict,AGSZZ,oracle,naive_kfold,0.31314382370003385,0.6899289765492783
ant-ivy,21,LApredict,AGSZZ,oracle,chronological,0.22023778428127458,0.6579456393361274
ant-ivy,21,JITLine,AGSZZ,oracle,naive_kfold,0.19970341430143965,0.6263176119311826
ant-ivy,21,JITLine,AGSZZ,oracle,chronological,0.07276930757145239,0.5420358254818666
ant-ivy,21,ORB,AGSZZ,oracle,prequential_latency,-0.06982081289266856,0.39390243704620587
ant-ivy,21,LApredict,AGSZZ,self,naive_kfold,0.44239701845015406,0.7214754414707027
ant-ivy,21,LApredict,AGSZZ,self,chronological,0.43060380596191217,0.7243678494811923
ant-ivy,21,JITLine,AGSZZ,self,naive_kfold,0.5248711375156297,0.7614390308764137
ant-ivy,21,JITLine,AGSZZ,self,chronological,0.3973830380954303,0.6945649537015197
ant-ivy,21,ORB,AGSZZ,self,prequential_latency,0.21066770182388292,0.6296425718836376
ant-ivy,21,LApredict,MASZZ,oracle,naive_kfold,0.31298042493698136,0.6903156863921809
ant-ivy,21,LApredict,MASZZ,oracle,chronological,0.22023778428127458,0.6579456393361274
ant-ivy,21,JITLine,MASZZ,oracle,naive_kfold,0.21738795552505819,0.6376481072804999
ant-ivy,21,JITLine,MASZZ,oracle,chronological,0.07639816504571623,0.5540916385036406
ant-ivy,21,ORB,MASZZ,oracle,prequential_latency,-0.04481825700990699,0.42633573851612816
ant-ivy,21,LApredict,MASZZ,self,naive_kfold,0.42740837067540716,0.7139882640115571
ant-ivy,21,LApredict,MASZZ,self,chronological,0.4170399320165703,0.7179246628310063
ant-ivy,21,JITLine,MASZZ,self,naive_kfold,0.5247727507403677,0.7599634579977911
ant-ivy,21,JITLine,MASZZ,self,chronological,0.3728792481025756,0.6918828120121278
ant-ivy,21,ORB,MASZZ,self,prequential_latency,0.17469926431615085,0.6088408560544754
ant-ivy,21,LApredict,LSZZ,oracle,naive_kfold,0.3219584112685564,0.6983826354873139
ant-ivy,21,LApredict,LSZZ,oracle,chronological,0.22858015075826088,0.6606428378371544
ant-ivy,21,JITLine,LSZZ,oracle,naive_kfold,0.2594054679810939,0.6432076007398172
ant-ivy,21,JITLine,LSZZ,oracle,chronological,0.17976360791834262,0.595410132656774
ant-ivy,21,ORB,LSZZ,oracle,prequential_latency,-0.01364122811790921,0.46798000634664016
ant-ivy,21,LApredict,LSZZ,self,naive_kfold,0.3298750540669809,0.7183576244314234
ant-ivy,21,LApredict,LSZZ,self,chronological,0.25086445121504475,0.7018685914884635
ant-ivy,21,JITLine,LSZZ,self,naive_kfold,0.3956071037906336,0.7484698619133617
ant-ivy,21,JITLine,LSZZ,self,chronological,0.30429999479157205,0.7215561748784202
ant-ivy,21,ORB,LSZZ,self,prequential_latency,0.06446318804972564,0.6066045441605932
ant-ivy,21,LApredict,RSZZ,oracle,naive_kfold,0.3146856708140541,0.6975639351507487
ant-ivy,21,LApredict,RSZZ,oracle,chronological,0.22341719725538367,0.6627292598125221
ant-ivy,21,JITLine,RSZZ,oracle,naive_kfold,0.27816392715401,0.6649667773583351
ant-ivy,21,JITLine,RSZZ,oracle,chronological,0.0877221113239269,0.535996328679391
ant-ivy,21,ORB,RSZZ,oracle,prequential_latency,-0.03778422973235544,0.4499121464968959
ant-ivy,21,LApredict,RSZZ,self,naive_kfold,0.2788946672777136,0.6644291408050859
ant-ivy,21,LApredict,RSZZ,self,chronological,0.21438009789977275,0.6389329754512441
ant-ivy,21,JITLine,RSZZ,self,naive_kfold,0.3237860848925874,0.6790713184783088
ant-ivy,21,JITLine,RSZZ,self,chronological,0.14527100321888822,0.5628815225387591
ant-ivy,21,ORB,RSZZ,self,prequential_latency,0.08977837798856379,0.5822380933077844
ant-ivy,21,LApredict,RASZZ,oracle,naive_kfold,0.31378671086564347,0.6918694404210072
