project,train_label,seed,fading,warmup,mcc_avg,gmean_avg,mcc_terminal
ant-ivy,BSZZ,13,0.95,0.25,0.20840797933723454,0.5956532045087548,0.0071068558086583335
ant-ivy,BSZZ,13,0.99,0.0,0.1623206166077603,0.5834613296696375,-0.0024288606600655132
ant-ivy,BSZZ,13,0.99,0.05,0.1779397554845214,0.5977033347008273,-0.0024288606600655132
ant-ivy,BSZZ,13,0.99,0.1,0.19889087339428976,0.6097571878772501,-0.0024288606600655132
ant-ivy,BSZZ,13,0.99,0.25,0.2260671393110787,0.6305235530122463,-0.0024288606600655132
ant-ivy,BSZZ,13,0.995,0.0,0.15754637496528281,0.5821525644165627,0.045427542828709616
ant-ivy,BSZZ,13,0.995,0.05,0.17288254649208032,0.5962378701223117,0.045427542828709616
ant-ivy,BSZZ,13,0.995,0.1,0.19347642132592194,0.6083553927120817,0.045427542828709616
ant-ivy,BSZZ,13,0.995,0.25,0.22892664678445954,0.6334501775828402,0.045427542828709616
ant-ivy,BSZZ,13,0.999,0.0,0.12907772139419824,0.5594698004596701,0.1747660393421906
ant-ivy,BSZZ,13,0.999,0.05,0.14290445687740072,0.5722958330977757,0.1747660393421906
ant-ivy,BSZZ,13,0.999,0.1,0.16166328114254186,0.5832050862752602,0.1747660393421906
ant-ivy,BSZZ,13,0.999,0.25,0.20012961264510984,0.6083398399040233,0.1747660393421906
ant-ivy,BSZZ,21,0.9,0.0,0.13103403645290643,0.5184255646890908,-0.009859542734890488
ant-ivy,BSZZ,21,0.9,0.05,0.14496070491879862,0.5312299739098645,-0.009859542734890488
ant-ivy,BSZZ,21,0.9,0.1,0.15650806318268096,0.538367376058185,-0.009859542734890488
ant-ivy,BSZZ,21,0.9,0.25,0.16552277935969187,0.5448108056545148,-0.009859542734890488
ant-ivy,BSZZ,21,0.95,0.0,0.13229085088570453,0.5441631444206623,0.0012906110326683265
ant-ivy,BSZZ,21,0.95,0.05,0.1466274681076509,0.5571383633664097,0.0012906110326683265
ant-ivy,BSZZ,21,0.95,0.1,0.16091583825579187,0.5653867063483974,0.0012906110326683265
ant-ivy,BSZZ,21,0.95,0.25,0.170978126083465,0.574070070555371,0.0012906110326683265
ant-ivy,BSZZ,21,0.99,0.0,0.12978377885440562,0.5646988059055583,-0.0045388178085104414
ant-ivy,BSZZ,21,0.99,0.05,0.1437016451688998,0.577959763942548,-0.0045388178085104414
ant-ivy,BSZZ,21,0.99,0.1,0.1610395674490444,0.5883586952115842,-0.0045388178085104414
ant-ivy,BSZZ,21,0.99,0.25,0.18056548913650725,0.6038551396387296,-0.0045388178085104414
ant-ivy,BSZZ,21,0.995,0.0,0.12798855840102535,0.5652585596461109,0.027557636434608183
ant-ivy,BSZZ,21,0.995,0.05,0.14177922317936498,0.5784605186971957,0.027557636434608183
ant-ivy,BSZZ,21,0.995,0.1,0.15918561546953555,0.5891426264137144,0.027557636434608183
ant-ivy,BSZZ,21,0.995,0.25,0.18519082443825874,0.6089018847270503,0.027557636434608183
ant-ivy,BSZZ,21,0.999,0.0,0.1109020986018318,0.5502155037111656,0.1378916759519991
ant-ivy,BSZZ,21,0.999,0.05,0.12377847472334197,0.5625576515519637,0.1378916759519991
ant-ivy,BSZZ,21,0.999,0.1,0.14022770528808665,0.5725713030381713,0.1378916759519991
ant-ivy,BSZZ,21,0.999,0.25,0.17021078689087274,0.5938455079574589,0.1378916759519991
ant-ivy,AGSZZ,7,0.9,0.0,0.12041063516318302,0.5155235879660007,-0.025766661261788983
ant-ivy,AGSZZ,7,0.9,0.05,0.13154208456634145,0.5264028911997197,-0.025766661261788983
ant-ivy,AGSZZ,7,0.9,0.1,0.1447075201130411,0.5341872371301155,-0.025766661261788983
ant-ivy,AGSZZ,7,0.9,0.25,0.1598033172422963,0.5502815460716819,-0.025766661261788983
ant-ivy,AGSZZ,7,0.95,0.0,0.1207394380019139,0.5377524034212958,-0.06056182731420938
ant-ivy,AGSZZ,7,0.95,0.05,0.13220056745668926,0.5486037511157764,-0.06056182731420938
